Classification,Year,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Partner Code,Partner,Commodity Code,Commodity,Trade Value (US$),Flag
H5,2017,3,Re-Export,842,USA,156,China,44,Wood and articles of wood; wood charcoal,4505286,0
H5,2017,1,Import,842,USA,156,China,45,Cork and articles of cork,27901231,4
H5,2017,2,Export,842,USA,156,China,45,Cork and articles of cork,561968,4
H5,2017,3,Re-Export,842,USA,156,China,45,Cork and articles of cork,7434,0
H5,2017,1,Import,842,USA,156,China,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",337982570,4
H5,2017,2,Export,842,USA,156,China,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",819978,4
H5,2017,3,Re-Export,842,USA,156,China,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",637282,0
H5,2017,1,Import,842,USA,156,China,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,8144793,4
H5,2017,2,Export,842,USA,156,China,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,3358016933,4
H5,2017,3,Re-Export,842,USA,156,China,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,364341,0
H5,2017,1,Import,842,USA,156,China,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",3593322595,4
H5,2017,2,Export,842,USA,156,China,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",776485217,4
H5,2017,3,Re-Export,842,USA,156,China,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",8115737,0
H5,2017,1,Import,842,USA,156,China,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",2300322034,4
H5,2017,2,Export,842,USA,156,China,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",153965796,4
H5,2017,3,Re-Export,842,USA,156,China,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",3528645,0
H5,2017,1,Import,842,USA,156,China,50,Silk,22902249,4
H5,2017,2,Export,842,USA,156,China,50,Silk,5332729,4
H5,2017,3,Re-Export,842,USA,156,China,50,Silk,61133,0
H5,2017,1,Import,842,USA,156,China,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",22548458,4
H5,2017,2,Export,842,USA,156,China,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",16894890,4
H5,2017,3,Re-Export,842,USA,156,China,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",103404,0
H5,2017,1,Import,842,USA,156,China,52,Cotton,237498275,4
H5,2017,2,Export,842,USA,156,China,52,Cotton,1049167344,4
H5,2017,3,Re-Export,842,USA,156,China,52,Cotton,727170,0
H5,2017,1,Import,842,USA,156,China,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,38441960,4
H5,2017,2,Export,842,USA,156,China,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,240556,4
H5,2017,3,Re-Export,842,USA,156,China,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,79261,0
H5,2017,1,Import,842,USA,156,China,54,Man-made filaments; strip and the like of man-made textile materials,554507811,4
H5,2017,2,Export,842,USA,156,China,54,Man-made filaments; strip and the like of man-made textile materials,113010008,4
H5,2017,3,Re-Export,842,USA,156,China,54,Man-made filaments; strip and the like of man-made textile materials,4364401,0
